Cavité :	Caf 225 Soleil Trompeur
Système de coordonnées : LT 3
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
	16	^   17	  70.9 °	  -6.1 °		1.16				1.0				  -6.1 °	-0.12	1.16	1.15	855508.9	3309109.1	1412.2	46.9		

	16	    -- -->  	 205.5 °	   1.9 °		0.65								   1.9 °	0.02	0.65	0.65	855507.6	3309108.2	1412.3	46.4		

	16	    -- -->  	 113.2 °	 -17.1 °		1.27								 -17.1 °	-0.38	1.27	1.22	855509.0	3309108.3	1411.9	47.0		

	17	    -- -->  	 278.8 °	  -2.0 °		1.03								  -2.0 °	-0.04	1.03	1.03	855507.9	3309109.3	1412.2	47.9		

	16	    -- -->  	  19.3 °	  74.5 °		0.98								  74.5 °	0.95	0.98	0.26	855507.9	3309109.0	1413.3	46.0		

	17	   18	 340.6 °	  -1.5 °		2.53				0.4	0.4	1.3	1.3	  -1.5 °	-0.07	2.53	2.53	855508.1	3309111.5	1412.1	49.4		

Date du lever : 	29/03/2015	Déclinaison = 	1° 2'
Operateurs :	Jean-Paul Héreil
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	18	->  7	  81.8 °	  54.0 °		3.43								  54.0 °	2.78	3.43	2.02	855510.1	3309111.8	1414.9	51.5		

	6	   7	 263.0 °	 -54.1 °		2.16								  54.1 °	1.75	2.16	1.26	855511.4	3309111.9	1416.7	52.7		

	6	   5	  61.2 °	  51.7 °		4.04				0.2	0.8	0.4		  51.7 °	3.17	4.04	2.50	855513.6	3309113.1	1419.8	55.2		

	6	    -- -->  	 338.3 °	  10.9 °		2.11								  10.9 °	0.40	2.11	2.07	855510.7	3309113.9	1417.1	54.8		

	6	    -- -->  	 142.6 °	   5.2 °		1.74								   5.2 °	0.16	1.74	1.73	855512.4	3309110.5	1416.8	54.5		

	6	    -- -->  	 198.8 °	  71.7 °		0.55								  71.7 °	0.53	0.55	0.17	855511.3	3309111.8	1417.2	52.9		

	6	    -- -->  	  86.1 °	 -74.7 °		0.72								 -74.7 °	-0.70	0.72	0.19	855511.6	3309111.9	1416.0	52.9		

	5	   4	  64.2 °	  43.6 °		2.96				0.3	0.5	0.7		  43.6 °	2.04	2.96	2.14	855515.6	3309114.0	1421.9	57.4		

	5	    -- -->  	 282.5 °	  -3.0 °		0.47								  -3.0 °	-0.02	0.47	0.47	855513.2	3309113.2	1419.8	55.7		

	5	    -- -->  	 141.6 °	  -3.5 °		0.84								  -3.5 °	-0.05	0.84	0.84	855514.1	3309112.4	1419.8	56.1		

	5	    -- -->  	 236.2 °	  54.6 °		0.51								  54.6 °	0.42	0.51	0.30	855513.4	3309112.9	1420.2	55.5		

	4	   3	  59.7 °	  15.1 °		2.24								  15.1 °	0.58	2.24	2.16	855517.5	3309115.0	1422.4	59.5		châtière

	4	    -- -->  	 329.3 °	  16.1 °		0.26								  16.1 °	0.07	0.26	0.25	855515.4	3309114.2	1421.9	57.6		

	4	    -- -->  	 156.2 °			0.49										0.49	0.49	855515.8	3309113.5	1421.9	57.9		

	4	    -- -->  	 191.3 °	  89.2 °		0.72								  89.2 °	0.72	0.72	0.01	855515.6	3309114.0	1422.6	57.4		

	3	->  3.1	   1.3 °	  42.3 °		3.92								  42.3 °	2.64	3.92	2.90	855517.6	3309117.9	1425.1	62.4		vers haut trémie

	2	^   3	 346.3 °	  26.4 °		0.65								 -26.4 °	-0.29	0.65	0.58	855517.6	3309114.5	1422.2	60.1		

	2	   1	  84.2 °	 -29.8 °		1.55				0.5		2.4		 -29.8 °	-0.77	1.55	1.34	855518.9	3309114.6	1421.4	61.5		

	2	    -- -->  	  31.1 °	   3.1 °		0.34								   3.1 °	0.02	0.34	0.34	855517.8	3309114.8	1422.2	60.4		

	2	    -- -->  	 188.8 °	   1.9 °		0.41								   1.9 °	0.01	0.41	0.41	855517.5	3309114.1	1422.2	60.5		

	2	    -- -->  	   6.0 °	  67.2 °		1.62								  67.2 °	1.50	1.62	0.63	855517.7	3309115.1	1423.7	60.7		

	1	->  1.1	 319.9 °	  29.2 °		2.04								  29.2 °	1.00	2.04	1.79	855517.8	3309116.0	1422.4	63.2		

